شماره,شناسه_سلول,سطح_اولویت,امتیاز_نهایی,تراکم_محلی_هم‌کلاس,عرض_جغرافیایی,طول_جغرافیایی,نزدیک‌ترین_نشانه_مکانی
1,ISF_0228,اولویت پایین,0.0019,30,32.646505,51.583768,"آل محمد, باغ برج, نصرآباد, منطقه ۹, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81737-56819, ایران"
2,ISF_1781,اولویت پایین,0.0082,29,32.609483,51.759382,"شهید سید اکبریان, پینارت, منطقه ۴, روشن دشت, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81583-56944, ایران"
3,ISF_0602,اولویت پایین,0.001,29,32.750059,51.621804,"شهرک نمایشگاه, منطقه ۱۲, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81951-57767, ایران"
4,ISF_1853,اولویت پایین,0.0299,28,32.672559,51.77058,"رویان, شهرک امام حسین, خوراسگان, منطقه ۱۵, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81561-66499, ایران"
5,ISF_0736,اولویت متوسط,0.301,29,32.646246,51.637077,"مهدی فرقدانی, محدوده ناژوان منطقه ۹, منطقه ۹, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81848-16611, ایران"
6,ISF_0434,اولویت متوسط,0.3,29,32.668955,51.605244,"ایمان, گلستان - سودان, منطقه ۹, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81878-53468, ایران"
7,ISF_1366,اولویت متوسط,0.3,29,32.645905,51.701048,"برادران, فرهنگیان, منطقه ۴, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81587-14181, ایران"
8,ISF_1070,اولویت متوسط,0.3019,27,32.641569,51.669029,"ماه, باغ نگار - آیینه خانه, منطقه ۶, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81736-95814, ایران"
9,ISF_1564,اولویت بالا,0.6743,30,32.569081,51.727082,"بزرگراه شهید علی بالایی, منطقه ۶, سپاهان شهر, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81691-13266, ایران"
10,ISF_0826,اولویت بالا,0.5818,29,32.546967,51.647026,"منطقه ۵, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, ایران"
11,ISF_1401,اولویت بالا,0.6661,29,32.596263,51.705989,"محدوده ی نظامی- هوانیروز, منطقه ۶, سپاهان شهر, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, ایران"
12,ISF_1470,اولویت بالا,0.334,26,32.704476,51.712175,"ارم, باتون, منطقه ۱۴, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81977-83543, ایران"
